#Parameters = {phi=0; theta=0}
#"Frequency / GHz"	"SZmax(1),Zmax(1) [Magnitude]"
#------------------------------------------------
74.224800000000	-24.349704459271
74.246400000000	-24.267912029745
74.268000000000	-24.186898766391
74.289600000000	-24.106650266833
74.311200000000	-24.027152527003
74.332800000000	-23.948391926578
74.354400000000	-23.870355215090
74.376000000000	-23.793029498650
74.397600000000	-23.716402227267
74.419200000000	-23.640461182719
74.440800000000	-23.565194466964
74.462400000000	-23.490590491043
74.484000000000	-23.416637964468
74.505600000000	-23.343325885054
74.527200000000	-23.270643529184
74.548800000000	-23.198580442484
74.570400000000	-23.127126430877
74.592000000000	-23.056271552017
74.613600000000	-22.986006107060
74.635200000000	-22.916320632777
74.656800000000	-22.847205893983
74.678400000000	-22.778652876263
74.700000000000	-22.710652778988
74.721600000000	-22.643197008609
74.743200000000	-22.576277172206
74.764800000000	-22.509885071288
74.786400000000	-22.444012695836
74.808000000000	-22.378652218559
74.829600000000	-22.313795989386
74.851200000000	-22.249436530145
74.872800000000	-22.185566529455
74.894400000000	-22.122178837796
74.916000000000	-22.059266462769
74.937600000000	-21.996822564519
74.959200000000	-21.934840451328
74.980800000000	-21.873313575369
75.002400000000	-21.812235528606
75.024000000000	-21.751600038839
75.045600000000	-21.691400965892
75.067200000000	-21.631632297931
75.088800000000	-21.572288147910
75.110400000000	-21.513362750138
75.132000000000	-21.454850456964
75.153600000000	-21.396745735578
75.175200000000	-21.339043164911
75.196800000000	-21.281737432650
75.218400000000	-21.224823332341
75.240000000000	-21.168295760597
75.261600000000	-21.112149714391
75.283200000000	-21.056380288442
75.304800000000	-21.000982672678
75.326400000000	-20.945952149795
75.348000000000	-20.891284092875
75.369600000000	-20.836973963099
75.391200000000	-20.783017307513
75.412800000000	-20.729409756883
75.434400000000	-20.676147023600
75.456000000000	-20.623224899665
75.477600000000	-20.570639254722
75.499200000000	-20.518386034159
75.520800000000	-20.466461257269
75.542400000000	-20.414861015459
75.564000000000	-20.363581470521
75.585600000000	-20.312618852944
75.607200000000	-20.261969460290
75.628800000000	-20.211629655604
75.650400000000	-20.161595865881
75.672000000000	-20.111864580574
75.693600000000	-20.062432350143
75.715200000000	-20.013295784648
75.736800000000	-19.964451552382
75.758400000000	-19.915896378547
75.780000000000	-19.867627043959
75.801600000000	-19.819640383795
75.823200000000	-19.771933286377
75.844800000000	-19.724502691984
75.866400000000	-19.677345591703
75.888000000000	-19.630459026306
75.909600000000	-19.583840085161
75.931200000000	-19.537485905175
75.952800000000	-19.491393669760
75.974400000000	-19.445560607828
75.996000000000	-19.399983992822
76.017600000000	-19.354661141756
76.039200000000	-19.309589414299
76.060800000000	-19.264766211865
76.082400000000	-19.220188976747
76.104000000000	-19.175855191250
76.125600000000	-19.131762376872
76.147200000000	-19.087908093484
76.168800000000	-19.044289938544
76.190400000000	-19.000905546328
76.212000000000	-18.957752587179
76.233600000000	-18.914828766777
76.255200000000	-18.872131825427
76.276800000000	-18.829659537361
76.298400000000	-18.787409710068
76.320000000000	-18.745380183624
76.341600000000	-18.703568830057
76.363200000000	-18.661973552711
76.384800000000	-18.620592285641
76.406400000000	-18.579422993007
76.428000000000	-18.538463668495
76.449600000000	-18.497712334748
76.471200000000	-18.457167042809
76.492800000000	-18.416825871577
76.514400000000	-18.376686927280
76.536000000000	-18.336748342956
76.557600000000	-18.297008277949
76.579200000000	-18.257464917416
76.600800000000	-18.218116471845
76.622400000000	-18.178961176584
76.644000000000	-18.139997291384
76.665600000000	-18.101223099946
76.687200000000	-18.062636909485
76.708800000000	-18.024237050302
76.730400000000	-17.986021875362
76.752000000000	-17.947989759887
76.773600000000	-17.910139100954
76.795200000000	-17.872468317107
76.816800000000	-17.834975847969
76.838400000000	-17.797660153873
76.860000000000	-17.760519715492
76.881600000000	-17.723553033484
76.903200000000	-17.686758628141
76.924800000000	-17.650135039046
76.946400000000	-17.613680824740
76.968000000000	-17.577394562392
76.989600000000	-17.541274847478
77.011200000000	-17.505320293472
77.032800000000	-17.469529531531
77.054400000000	-17.433901210203
77.076000000000	-17.398433995127
77.097600000000	-17.363126568744
77.119200000000	-17.327977630023
77.140800000000	-17.292985894174
77.162400000000	-17.258150092388
77.184000000000	-17.223468971563
77.205600000000	-17.188941294053
77.227200000000	-17.154565837408
77.248800000000	-17.120341394127
77.270400000000	-17.086266771418
77.292000000000	-17.052340790951
77.313600000000	-17.018562288634
77.335200000000	-16.984930114376
77.356800000000	-16.951443131865
77.378400000000	-16.918100218350
77.400000000000	-16.884900264423
77.421600000000	-16.851842173807
77.443200000000	-16.818924863149
77.464800000000	-16.786147261820
77.486400000000	-16.753508311710
77.508000000000	-16.721006967038
77.529600000000	-16.688642194158
77.551200000000	-16.656412971370
77.572800000000	-16.624318288739
77.594400000000	-16.592357147910
77.616000000000	-16.560528561936
77.637600000000	-16.528831555100
77.659200000000	-16.497265162744
77.680800000000	-16.465828431107
77.702400000000	-16.434520417154
77.724000000000	-16.403340188421
77.745600000000	-16.372286822852
77.767200000000	-16.341359408646
77.788800000000	-16.310557044107
77.810400000000	-16.279878837490
77.832000000000	-16.249323906856
77.853600000000	-16.218891379931
77.875200000000	-16.188580393960
77.896800000000	-16.158390095573
77.918400000000	-16.128319640644
77.940000000000	-16.098368194159
77.961600000000	-16.068534930087
77.983200000000	-16.038819031248
78.004800000000	-16.009219689188
78.026400000000	-15.979736104052
78.048000000000	-15.950367484465
78.069600000000	-15.921113047411
78.091200000000	-15.891972018114
78.112800000000	-15.862943629921
78.134400000000	-15.834027124194
